id,permit_permit_id,boroughid,permitcategory,currentstatus,duration_start_date,duration_end_date,reason_category,occupancy_name,submittercategory,organizationname,duration_days_mon_active,duration_days_mon_all_day_round,duration_days_tue_active,duration_days_tue_all_day_round,duration_days_wed_active,duration_days_wed_all_day_round,duration_days_thu_active,duration_days_thu_all_day_round,duration_days_fri_active,duration_days_fri_all_day_round,duration_days_sat_active,duration_days_sat_all_day_round,duration_days_sun_active,duration_days_sun_all_day_round,duration_days_sat_start_time,duration_days_sat_end_time,duration_days_mon_start_time,duration_days_mon_end_time,duration_days_tue_start_time,duration_days_tue_end_time,duration_days_wed_start_time,duration_days_wed_end_time,duration_days_thu_start_time,duration_days_thu_end_time,duration_days_fri_start_time,duration_days_fri_end_time,duration_days_sun_start_time,duration_days_sun_end_time,load_date,longitude,latitude
"65a6d76699c82800195d8a9f","OCC-2401WT14307639","Le Plateau-Mont-Royal","Travaux","Permis émis","2024-01-21T19:00:00Z","2024-01-26T18:59:59Z","Construction/rénovation sans excavation","Hutchison entre Mont-Royal et Bérubé","Entreprise","Groupe Balex inc.","t","t","t","t","t","t","t","t","t","t","f","t","f","t",,,,,,,,,,,,,,,"2024-01-20T00:11:30Z",-73.59100149134888,45.51675209862003
"65a6d56361a1dc001a338ea5","OCC-2401UI15229038","Côte-des-Neiges-Notre-Dame-de-Grâce","Travaux","Permis émis","2024-01-21T19:00:00Z","2024-01-22T18:59:59Z","Construction/rénovation sans excavation","Earnscliffe entre Côte-Saint-Luc et Snowdon","Entreprise","CBrik inc.","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00","07:00","19:00",,,"2024-01-20T00:11:30Z",-73.62613288884445,45.47999152177899
"65a6d59761a1dc001a338eb0","OCC-2401TX13672890","Ville-Marie","Travaux","Permis émis","2024-01-15T19:00:00Z","2024-01-26T18:59:59Z","Construction/rénovation avec excavation","Ruelle",,,"t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","17:00","07:00","17:00","07:00","17:00","07:00","17:00","07:00","17:00",,,"2024-01-20T00:11:30Z",-73.5600030258095,45.53314173609368
"65a6dbdb61a1dc001a338f8b","OCC-2401WS14302932","Rosemont-La Petite-Patrie","Travaux","Permis émis","2024-01-21T19:00:00Z","2024-01-22T18:59:59Z","Autre","39e entre Bellechasse et Beaubien","Entreprise","International neon","t","t","t","t","t","t","t","t","t","t","f","f","f","f",,,,,,,,,,,,,,,"2024-01-20T00:11:30Z",-73.57100293867879,45.57232233913914
"65a6db5961a1dc001a338f87","OCC-2401PT13678942","Mercier-Hochelaga-Maisonneuve","Travaux","Permis émis","2024-01-18T19:00:00Z","2024-01-19T18:59:59Z","Autre","Dézéry entre Adam et La Fontaine","Entreprise","Bisson Expert Inc.","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","16:00","07:00","16:00","07:00","16:00","07:00","16:00","07:00","16:00",,,"2024-01-20T00:11:30Z",-73.54490415427516,45.54033341526965
"65a6d85561a1dc001a338f01","OCC-2401HK13665076","Anjou","Travaux","Permis émis","2024-01-16T19:00:00Z","2024-01-19T18:59:59Z","Égouts et aqueducs - Excavation","Joseph-Renaud entre Kirby-Hall et Châtillon","Ville de Montréal",,"t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"08:00","16:00","08:00","16:00","08:00","16:00","08:00","16:00","08:00","16:00",,,"2024-01-20T00:11:30Z",-73.55039506707251,45.60518860072831
"65a6e3b199c82800195d8bef","OCC-2401FB14306054","Ville-Marie","Travaux","Permis émis","2024-01-21T19:00:00Z","2024-02-23T18:59:59Z","S-3 Infrastructure souterraine majeure - Massifs et conduits","Square-Amherst entre Amherst et Wolfe","CSEM (Commission des services électriques de Montréal) ou son sous-traitant
","CMS Entrepreneurs Généraux Inc.","t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-01-20T00:11:30Z",-73.56383624649844,45.520954138518185
"65a6ecb499c82800195d8c5d","OCC-2401ZF14345593","Le Sud-Ouest","Travaux","Permis émis","2024-01-16T19:00:00Z","2024-02-09T18:59:59Z","Construction/rénovation avec excavation","Ruelle",,,"t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","15:00","07:00","15:00","07:00","15:00","07:00","15:00","07:00","15:00",,,"2024-01-20T00:11:30Z",-73.59363638912362,45.45072998347093
"65a6dec699c82800195d8b8c","OCC-2401QJ15195093","Mercier-Hochelaga-Maisonneuve","Travaux","Permis émis","2024-01-21T19:00:00Z","2024-01-22T18:59:59Z","Construction/rénovation sans excavation","Joliette entre Sainte-Catherine et Béliveau","Organisation publique ou son sous-traitant","Hydro-Québec-Entrave courte durée","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"10:00","16:00","10:00","16:00","10:00","16:00","10:00","16:00","10:00","16:00",,,"2024-01-20T00:11:30Z",-73.53948249130852,45.54321433425672
"65a6f2ef99c82800195d8cc4","OCC-2401KR14342444","Le Sud-Ouest","Travaux","Permis émis","2024-01-18T19:00:00Z","2024-01-26T18:59:59Z","Construction/rénovation sans excavation","Saint-Jacques entre Laporte et Agnès","Entreprise","Sembly Development Inc.","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"09:30","19:00","09:30","19:00","09:30","19:00","09:30","19:00","09:30","19:00",,,"2024-01-20T00:11:30Z",-73.58427119353087,45.47936142254397
"65a6f53b61a1dc001a33912d","OCC-2401OT14303734","Le Plateau-Mont-Royal","Travaux","Permis émis","2024-01-09T19:00:00Z","2024-01-24T18:59:59Z","Construction/rénovation sans excavation","Waverly entre Saint-Viateur et Bernard",,,"t","t","t","t","t","t","t","t","t","t","t","t","t","t",,,,,,,,,,,,,,,"2024-01-20T00:11:30Z",-73.60212943695136,45.52472844056977
"65a7b7b761a1dc001a33917f","OCC-2401PG14297717","Rosemont-La Petite-Patrie","Travaux","Permis émis","2024-01-18T19:00:00Z","2024-01-19T18:59:59Z","Construction/rénovation sans excavation","Ruelle","Entreprise","9368-6764 Qc Inc","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","15:00","07:00","15:00","07:00","15:00","07:00","15:00","07:00","15:00",,,"2024-01-20T00:11:30Z",-73.61487582572258,45.53358197431661
"65a6e0db61a1dc001a338fde","OCC-2401HF15223677","Ahuntsic-Cartierville","Travaux","Permis émis","2024-01-21T19:00:00Z","2024-01-22T18:59:59Z","Construction/rénovation sans excavation","Christophe-Colomb entre Sauriol et Prieur","Organisation publique ou son sous-traitant","Hydro-Québec-Entrave courte durée","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"09:00","16:00","09:00","16:00","09:00","16:00","09:00","16:00","09:00","16:00",,,"2024-01-20T00:11:30Z",-73.65747665550073,45.561077578672766
"65a7d1a061a1dc001a339277","OCC-2401MJ14502793","Ville-Marie","Travaux","Permis émis","2024-01-17T19:00:00Z","2024-01-22T18:59:59Z","Construction/rénovation sans excavation","Parthenais entre René-Lévesque et Sainte-Catherine","Entreprise","Devcor 1994","t","f","t","f","t","f","t","f","t","f","f","f","f","f",,,"07:00","15:00","07:00","15:00","07:00","15:00","07:00","15:00","07:00","15:00",,,"2024-01-20T00:11:30Z",-73.54789478561693,45.5256446700653
